,BAC US Equity,CVX US Equity,CSCO US Equity,COP US Equity,GE US Equity,GS US Equity,JPM US Equity,JNJ US Equity,MSFT US Equity,PEP US Equity,PG US Equity,SLB US Equity,GOOGL US Equity,III LN Equity,AHT LN Equity,ABF LN Equity,AZN LN Equity,BAB LN Equity,BATS LN Equity,CCL LN Equity,DCC LN Equity,EXPN LN Equity,GLEN LN Equity,IAG LN Equity,LLOY LN Equity,MERL LN Equity,PSN LN Equity,PFG LN Equity,PRU LN Equity,REL LN Equity,RIO LN Equity,SDR LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity,BRFS US Equity,UGP US Equity,GGB US Equity,BAK US Equity,FBR US Equity,GOL US Equity,GFA US Equity,2388 HK Equity,1 HK Equity,939 HK Equity
2016-01-30,14.14,86.47,23.79,39.08,29.1,161.56,59.5,104.44,55.09,99.3,81.69,72.27,761.35,442,899,3150,4487.5,915,3897,3480,5405,1190,89.48,539.5,65.46,413.7,2036,2938,1367.5,1230,1714,2724,3085,223.9,1517,12.13,14.95,0.91,11.99,11.05,5.5,1.16,20.5,96.35,4.73
2016-01-31,14.14,86.47,23.79,39.08,29.1,161.56,59.5,104.44,55.09,99.3,81.69,72.27,761.35,442,899,3150,4487.5,915,3897,3480,5405,1190,89.48,539.5,65.46,413.7,2036,2938,1367.5,1230,1714,2724,3085,223.9,1517,12.13,14.95,0.91,11.99,11.05,5.5,1.16,20.5,96.35,4.73
2016-02-01,13.96,85.29,23.48,38.6,28.64,159.65,58.86,104.37,54.71,99.03,81.12,71.46,770.77,439.9,893.5,3150,4504,908.5,3864,3515,5365,1176,87.99,555,64.19,413.7,2067,2966,1326.5,1228,1696,2700,3071.5,225.45,1516,12.26,14.74,0.9456,11.9,10.5,5.82,1.16,20,97.55,4.71
2016-02-02,13.23,81.24,22.83,36.59,28.24,151.7,57.03,103.41,53,98.21,80.22,68.84,780.91,430.8,887.5,3200,4499,893.5,3856.5,3336,5295,1170,83.15,541,61.94,413.5,2067,2927,1217.5,1220,1617.5,2621,3078,221.55,1498,11.92,14.14,0.9353,11.41,10.07,4.8269,1.13,19.72,97.1,4.58
2016-02-03,13.03,84.62,23.1,38.63,28.67,152.68,57.41,104.14,52.16,98.72,81.1,70.83,749.38,418.2,878,3159,4412,876.5,3805,3243,5205,1156,85.95,523.5,60.69,405.3,2042,2856,1235.5,1199,1685,2541,3020,212.9,1473,12.61,14.71,0.9854,12.25,9.99,5.4,1.17,19.62,95.35,4.51
2016-02-04,13.25,84.79,23.54,35.32,29.18,156.49,58.4,103.9,52,97.39,80.7,70.54,730.03,426,899,3135,4143,888.5,3753.5,3225,5200,1162,99.68,514.5,62.77,408.8,2039,2936,1262.5,1199,1858,2593,2953.5,210.25,1465,12.89,15.11,1.14,12.53,10.21,5.7,1.2,19.48,96.9,4.58
2016-02-05,12.95,82.88,22.89,32.9,28.54,156.47,57.75,100.54,50.16,97.32,81.2,68.81,703.76,422,896,3097,4109.5,902.5,3726.5,3128,5085,1162,102.15,506.5,61.8,402.2,1965,2861,1228,1170,1818,2544,2967.5,207,1417,13.02,14.78,1.07,12.14,10.1,4.7513,1.18,19.72,95.15,4.64
2016-02-06,12.95,82.88,22.89,32.9,28.54,156.47,57.75,100.54,50.16,97.32,81.2,68.81,703.76,422,896,3097,4109.5,902.5,3726.5,3128,5085,1162,102.15,506.5,61.8,402.2,1965,2861,1228,1170,1818,2544,2967.5,207,1417,13.02,14.78,1.07,12.14,10.1,4.7513,1.18,19.72,95.15,4.64
2016-02-07,12.95,82.88,22.89,32.9,28.54,156.47,57.75,100.54,50.16,97.32,81.2,68.81,703.76,422,896,3097,4109.5,902.5,3726.5,3128,5085,1162,102.15,506.5,61.8,402.2,1965,2861,1228,1170,1818,2544,2967.5,207,1417,13.02,14.78,1.07,12.14,10.1,4.7513,1.18,19.72,95.15,4.64
2016-02-08,12.27,85.99,22.93,34.43,28.17,149.25,56.54,102,49.41,97.52,82.62,69.78,704.16,404.9,828,3045,3906,862,3731,2957,4779,1112,102.8,475.3,59.36,379.8,1859,2754,1161.5,1126,1840.5,2405,2939.5,200.2,1338,12.94,14.52,1.01,11.81,9.69,4.6,1.16,19.72,95.15,4.64
2016-02-09,12.2,82.92,22.65,33.58,28.28,148.25,56.2,101.97,49.28,98.28,82.64,67.8,701.02,392,825,3039,3914.5,862.5,3736.5,3034,4835,1094,94.44,483.6,58.13,386.5,1878,2793,1126,1149,1751,2366,2931.5,201.15,1383,12.62,14.37,0.9957,11.69,9.78,4.9,1.14,19.72,95.15,4.64
