,BAC US Equity,CVX US Equity,CSCO US Equity,COP US Equity,GE US Equity,GS US Equity,JPM US Equity,JNJ US Equity,MSFT US Equity,PEP US Equity,PG US Equity,SLB US Equity,GOOGL US Equity,III LN Equity,AHT LN Equity,ABF LN Equity,AZN LN Equity,BAB LN Equity,BATS LN Equity,CCL LN Equity,DCC LN Equity,EXPN LN Equity,GLEN LN Equity,IAG LN Equity,LLOY LN Equity,MERL LN Equity,PSN LN Equity,PFG LN Equity,PRU LN Equity,REL LN Equity,RIO LN Equity,SDR LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity,BRFS US Equity,UGP US Equity,GGB US Equity,BAK US Equity,FBR US Equity,GOL US Equity,GFA US Equity,2388 HK Equity,1 HK Equity,939 HK Equity
2016-03-01,13.19,86.13,26.83,34.46,29.88,154.65,59.2,107.22,52.58,99.09,81.23,74.01,742.17,447.7,842.5,3445,4093,929.5,4000,3599,5805,1204,130.5,555.5,73.07,466.8,2214,3328,1307,1268,1940,2687,3148.5,222.6,1556,13.48,16.22,0.906,12.93,10.7,5.75,1.33,20.3,94.8,4.61
2016-03-02,13.41,87.14,26.9,36.49,30.18,154.2,59.76,107.04,52.95,98.33,82.55,74.41,739.48,445.4,850.5,3354,4073,935,3968.5,3532,5745,1194,135.4,545.5,73.27,463.7,2144,3285,1329.5,1234,2007.5,2718,3073.5,221.7,1536,13.44,16.59,0.95,13.05,10.23,7.04,1.37,20.85,97.7,4.76
2016-03-03,13.5,87.53,26.87,38.56,30.22,155.33,59.96,106.65,52.35,99.16,82.84,74.85,731.59,444.7,864.5,3290,4000,945.5,3958,3417,5705,1190,143,533,72.58,451.2,1998,3263,1340.5,1226,2012,2738,3057.5,221.25,1539,13.93,17.25,1.03,13.3,9.48,10.08,1.44,20.85,97.55,4.73
2016-03-04,13.54,87.93,26.8,41.12,30.46,156.84,60.05,106.5,52.03,100,83.49,74.83,730.22,445.1,902.5,3341,4021,959,4044.5,3460,5715,1203,160,545,73.24,456.1,1992,3260,1346.5,1227,2130,2624,3109,221.25,1531,13.86,17.7,1.23,13.28,9.58,8.52,1.48,21.25,98.85,4.79
2016-03-05,13.54,87.93,26.8,41.12,30.46,156.84,60.05,106.5,52.03,100,83.49,74.83,730.22,445.1,902.5,3341,4021,959,4044.5,3460,5715,1203,160,545,73.24,456.1,1992,3260,1346.5,1227,2130,2624,3109,221.25,1531,13.86,17.7,1.23,13.28,9.58,8.52,1.48,21.25,98.85,4.79
2016-03-06,13.54,87.93,26.8,41.12,30.46,156.84,60.05,106.5,52.03,100,83.49,74.83,730.22,445.1,902.5,3341,4021,959,4044.5,3460,5715,1203,160,545,73.24,456.1,1992,3260,1346.5,1227,2130,2624,3109,221.25,1531,13.86,17.7,1.23,13.28,9.58,8.52,1.48,21.25,98.85,4.79
2016-03-07,13.53,90.67,27.14,41.4,30.29,155.35,59.94,106.74,51.03,99.25,83.1,76.16,712.8,437.2,896,3343,4016.5,950,4008.5,3420,5650,1202,170.75,540,72.75,448,1994,3198,1326.5,1224,2237,2651,3087,218.3,1548,14,17.56,1.28,13.45,9.56,8.85,1.44,21.4,98.15,4.87
2016-03-08,13.06,88.74,27.05,38.62,30.06,151.6,58.78,106.22,51.65,99.74,83.06,72.7,713.53,426,861.5,3321,4054.5,948,4012.5,3379,5610,1193,139.75,532,70.63,445,1968,3102,1326.5,1228,2026,2639,3110,217.65,1547,13.91,17.45,1.25,12.95,8.8,8.73,1.42,21.3,97.1,4.81
2016-03-09,13.14,92.82,27.61,39.05,30.05,149.91,59.12,106.84,52.84,100.2,82.96,72.75,725.41,424.4,852.5,3322,4076,942,4045,3354,5710,1201,143.25,535,69.77,442.4,1999,3083,1365,1244,2030.5,2685,3119.5,215.4,1562,14.43,17.85,1.28,13.22,8.75,8.73,1.37,21.4,97.3,4.77
2016-03-10,13.27,93.94,27.38,39.03,29.94,151.02,58.61,107.14,52.05,100.78,82.28,73.18,732.17,422.4,785,3301,4018.5,922.5,3984.5,3327,5660,1184,137.25,527,68.95,438.6,1953,3052,1319.5,1231,1957,2699,3081.5,212.65,1544,14.79,18.32,1.46,13.42,8.57,9.43,1.42,21.15,98.3,4.79
2016-03-11,13.79,94.58,27.86,40.52,30.34,153.94,59.34,107.71,53.07,101.31,81.75,75,744.87,437.9,785,3354,4043.5,949.5,4076.5,3410,5735,1206,141.7,541,70.15,451.9,1990,3094,1358.5,1247,2000,2698,3096,217.35,1565,14.65,18.48,1.43,13.37,8.46,9.15,1.44,21.45,99.15,4.8
2016-03-12,13.79,94.58,27.86,40.52,30.34,153.94,59.34,107.71,53.07,101.31,81.75,75,744.87,437.9,785,3354,4043.5,949.5,4076.5,3410,5735,1206,141.7,541,70.15,451.9,1990,3094,1358.5,1247,2000,2698,3096,217.35,1565,14.65,18.48,1.43,13.37,8.46,9.15,1.44,21.45,99.15,4.8
2016-03-13,13.79,94.58,27.86,40.52,30.34,153.94,59.34,107.71,53.07,101.31,81.75,75,744.87,437.9,785,3354,4043.5,949.5,4076.5,3410,5735,1206,141.7,541,70.15,451.9,1990,3094,1358.5,1247,2000,2698,3096,217.35,1565,14.65,18.48,1.43,13.37,8.46,9.15,1.44,21.45,99.15,4.8
2016-03-14,13.64,94.26,27.7,40.01,30.27,153.49,59.12,107.66,53.17,100.65,81.17,73.44,750.24,439.8,815,3370,4052,955,4101,3477,5860,1215,147.9,541.5,70.31,458.1,2034,3000,1346,1255,2001.5,2703,3110.5,219.6,1575,14.39,18.12,1.43,13.99,8.84,8.36,1.3,21.55,99.1,4.88
2016-03-15,13.57,94.27,27.66,39.83,30.28,152.03,59.2,107.76,53.59,101.15,81.31,73.23,750.57,438.7,816,3370,4022,956,4128,3489,5890,1211,140.85,542.5,69.21,454.9,2026,2991,1317.5,1267,1921.5,2709,3143.5,219.9,1593,13.85,17.49,1.26,13.61,9.27,7.21,1.28,21.9,98.9,4.83
2016-03-16,13.31,95.4,27.88,41.87,30.17,150.54,58.92,107.41,54.35,100.83,81.34,73.35,757.36,446.2,835,3387,4005,952,4117,3532,5910,1208,144.3,555,68.79,462.2,2074,2946,1338.5,1272,1929.5,2707,3124.5,220.25,1597,14.12,17.72,1.33,13.67,9.43,7.08,1.29,21.8,99.1,4.85
2016-03-17,13.4,96.89,28.19,43.01,30.96,152.91,58.75,106.74,54.66,101.87,82.75,74.54,758.48,446.5,855,3378,3946.5,938.5,4042,3464,5930,1208,158,551,69.3,462.9,2113,2904,1355,1271,2034,2716,3110,219.7,1591,14.86,19.02,1.5,14.75,9.31,8.3,1.37,22.3,98.85,4.95
2016-03-18,13.79,97.69,28.33,43.02,30.92,157.6,60.48,107.5,53.49,101.29,83.15,73.52,755.41,450.5,876.5,3420,3890,945.5,3977,3497,5870,1206,160.8,565,69.9,462.1,2087,2974,1371,1260,2015,2750,3098.5,217.35,1588,14.92,18.98,1.56,15.03,9.44,8.21,1.44,22.45,100.6,5
2016-03-19,13.79,97.69,28.33,43.02,30.92,157.6,60.48,107.5,53.49,101.29,83.15,73.52,755.41,450.5,876.5,3420,3890,945.5,3977,3497,5870,1206,160.8,565,69.9,462.1,2087,2974,1371,1260,2015,2750,3098.5,217.35,1588,14.92,18.98,1.56,15.03,9.44,8.21,1.44,22.45,100.6,5
2016-03-20,13.79,97.69,28.33,43.02,30.92,157.6,60.48,107.5,53.49,101.29,83.15,73.52,755.41,450.5,876.5,3420,3890,945.5,3977,3497,5870,1206,160.8,565,69.9,462.1,2087,2974,1371,1260,2015,2750,3098.5,217.35,1588,14.92,18.98,1.56,15.03,9.44,8.21,1.44,22.45,100.6,5
2016-03-21,13.84,96.44,28.19,42.58,31.09,156.29,60.46,107.28,53.86,101.54,83.32,74.89,762.16,448.3,872.5,3411,3901.5,940.5,3976,3512,5885,1202,159.9,558,69.79,458.6,2079,2961,1370.5,1262,2014,2725,3100,216.95,1584,15.19,19.02,1.63,15.3,9.5,8.05,1.37,22.8,100,4.97
2016-03-22,13.76,95.5,28.28,41.92,31.06,154.2,60.24,107.38,54.07,100.77,82.74,73.61,760.05,457.5,878.5,3430,3915,946,3983,3456,5985,1205,159.85,549.5,69.36,451.2,2076,3026,1355.5,1278,1993,2726,3102.5,218.15,1595,15.33,19.1,1.72,15.45,9.56,9.1,1.37,22.55,102.4,4.94
2016-03-23,13.62,93.59,27.83,39.85,31.07,154.08,59.94,108.5,53.97,100.81,82.82,72.96,757.56,458.2,860.5,3458,3952,942,4044,3522,6100,1220,153.5,554.5,68.9,458.2,2107,3012,1346,1286,1969,2715,3165,220.75,1624,14.3,18.88,1.57,13.28,9.31,8.71,1.36,22.75,101.4,4.93
2016-03-24,13.68,94.85,27.96,40.04,31.11,153,59.48,108.31,54.21,100.68,82.89,72.58,754.84,453.1,825,3265,3907,934.5,3995.5,3517,6040,1213,151.2,542,68.05,454.4,2077,2958,1275.5,1277,1937.5,2659,3141,218.35,1596,14.15,18.81,1.59,12.62,9.45,8.27,1.37,22.2,100.3,4.86
2016-03-25,13.68,94.85,27.96,40.04,31.11,153,59.48,108.31,54.21,100.68,82.89,72.58,754.84,453.1,825,3265,3907,934.5,3995.5,3517,6040,1213,151.2,542,68.05,454.4,2077,2958,1275.5,1277,1937.5,2659,3141,218.35,1596,14.15,18.81,1.59,12.62,9.45,8.27,1.37,22.2,100.3,4.86
2016-03-26,13.68,94.85,27.96,40.04,31.11,153,59.48,108.31,54.21,100.68,82.89,72.58,754.84,453.1,825,3265,3907,934.5,3995.5,3517,6040,1213,151.2,542,68.05,454.4,2077,2958,1275.5,1277,1937.5,2659,3141,218.35,1596,14.15,18.81,1.59,12.62,9.45,8.27,1.37,22.2,100.3,4.86
2016-03-27,13.68,94.85,27.96,40.04,31.11,153,59.48,108.31,54.21,100.68,82.89,72.58,754.84,453.1,825,3265,3907,934.5,3995.5,3517,6040,1213,151.2,542,68.05,454.4,2077,2958,1275.5,1277,1937.5,2659,3141,218.35,1596,14.15,18.81,1.59,12.62,9.45,8.27,1.37,22.2,100.3,4.86
2016-03-28,13.62,94.68,27.9,39.68,31.49,153.84,59.4,108.23,53.54,100.98,82.62,72.8,753.28,453.1,825,3265,3907,934.5,3995.5,3517,6040,1213,151.2,542,68.05,454.4,2077,2958,1275.5,1277,1937.5,2659,3141,218.35,1596,14.69,19.24,1.7,12.86,8.98,9.04,1.44,22.2,100.3,4.86
2016-03-29,13.42,95.32,28.1,39.62,31.48,155.03,59.03,109.14,54.71,101.37,82.8,73,765.89,454.7,850.5,3369,3914.5,948.5,3995.5,3550,6130,1229,143.8,551.5,68,456.5,2105,2950,1294,1290,1863,2650,3164.5,217.85,1610,14.74,19.43,1.66,12.89,8.93,8.99,1.49,22.5,100.3,4.9
2016-03-30,13.48,95.25,28.46,40.08,31.83,156.5,59.71,108.98,55.05,102.69,82.68,74.41,768.34,461.6,870,3369,3915.5,945.5,4075,3692,6190,1246,151.55,556,67.8,459.2,2102,2959,1302,1306,1973,2710,3190,222.5,1635,14.51,19.62,1.82,13.03,8.69,8.16,1.42,22.85,102.3,5.05
2016-03-31,13.52,95.4,28.47,40.27,31.79,156.98,59.22,108.2,55.23,102.48,82.31,73.75,762.9,456.4,864,3349,3902.5,949.5,4090,3752,6150,1245,157.3,553.5,68.02,463.5,2085,2965,1301,1294,1955.5,2683,3152.5,221.2,1627,14.22,19.28,1.78,12.91,8.48,7.53,1.42,23.15,100.7,4.95
2016-04-01,13.56,94.26,28.69,39.78,31.93,159.82,59.87,109.19,55.57,103.78,83.53,72.12,769.67,454.5,857.5,3344,3932.5,952.5,4083.5,3791,6130,1251,149.75,552,67.95,465.4,2108,2966,1279,1299,1943,2624,3165,220.2,1627,14.46,19.47,1.93,13.57,8.64,7.54,1.44,23,100.8,4.91
2016-04-02,13.56,94.26,28.69,39.78,31.93,159.82,59.87,109.19,55.57,103.78,83.53,72.12,769.67,454.5,857.5,3344,3932.5,952.5,4083.5,3791,6130,1251,149.75,552,67.95,465.4,2108,2966,1279,1299,1943,2624,3165,220.2,1627,14.46,19.47,1.93,13.57,8.64,7.54,1.44,23,100.8,4.91
2016-04-03,13.56,94.26,28.69,39.78,31.93,159.82,59.87,109.19,55.57,103.78,83.53,72.12,769.67,454.5,857.5,3344,3932.5,952.5,4083.5,3791,6130,1251,149.75,552,67.95,465.4,2108,2966,1279,1299,1943,2624,3165,220.2,1627,14.46,19.47,1.93,13.57,8.64,7.54,1.44,23,100.8,4.91
2016-04-04,13.51,93.43,28.14,39.1,31.23,157.77,59.2,108.59,55.43,103.82,83.21,72.64,765.12,457.2,845,3393,3971,957,4098,3782,6220,1265,149.8,556.5,68.32,460.7,2107,2968,1290.5,1302,1975.5,2641,3178,219.7,1652,13.8,18.75,1.76,12.25,8.69,6.9,1.32,23,100.8,4.91
2016-04-05,13.19,92.67,27.58,39.04,30.98,155.35,58.36,108.95,54.56,103.1,83.16,72.66,758.57,448.8,825.5,3399,3951,952,4118,3730,6220,1250,141.85,549,66.94,455,2123,2939,1268,1295,1927.5,2566,3189,216.15,1653,13.69,18.84,1.79,12.5,8.24,6.86,1.3,22.6,98.8,4.81
2016-04-06,13.27,94.84,28,40.75,30.9,155.19,58.81,109.42,55.12,103.92,83.81,73.16,768.07,452,834.5,3415,4127.5,959.5,4124.5,3779,6275,1266,140.1,535,68.08,461.2,2134,2986,1310.5,1301,1934.5,2592,3242,219.75,1658,13.72,19.14,1.71,12.58,8.41,6.75,1.28,22.75,99.8,4.83
2016-04-07,12.85,94.79,27.6,40.31,30.63,150.41,57.32,109.27,54.46,103.6,83.24,72.01,760.12,443.3,832,3387,4167.5,953.5,4148.5,3759,6160,1255,132.1,527.5,64.82,456.9,2072,2916,1281,1299,1917.5,2524,3241,222.75,1647,13.56,19.11,1.62,12.43,8.2,6.35,1.28,22.85,99.25,4.83
2016-04-08,12.88,96.33,27.69,41.23,30.79,150.28,57.74,109.1,54.42,105.08,83.2,73.85,759.47,452.2,840,3368,4146.5,967.5,4190,3764,6270,1239,136.8,527.5,65.9,462.7,2064,2946,1310.5,1304,1987.5,2500,3238.5,227.5,1639,13.76,19.85,1.85,12.86,7.92,6.6,1.39,22.9,99,4.88
2016-04-09,12.88,96.33,27.69,41.23,30.79,150.28,57.74,109.1,54.42,105.08,83.2,73.85,759.47,452.2,840,3368,4146.5,967.5,4190,3764,6270,1239,136.8,527.5,65.9,462.7,2064,2946,1310.5,1304,1987.5,2500,3238.5,227.5,1639,13.76,19.85,1.85,12.86,7.92,6.6,1.39,22.9,99,4.88
2016-04-10,12.88,96.33,27.69,41.23,30.79,150.28,57.74,109.1,54.42,105.08,83.2,73.85,759.47,452.2,840,3368,4146.5,967.5,4190,3764,6270,1239,136.8,527.5,65.9,462.7,2064,2946,1310.5,1304,1987.5,2500,3238.5,227.5,1639,13.76,19.85,1.85,12.86,7.92,6.6,1.39,22.9,99,4.88
2016-04-11,12.97,95.24,27.62,41.19,30.71,152.2,58.2,108.97,54.31,104.3,82.73,73.88,757.54,449.1,842,3351,4065,965,4193.5,3711,6290,1233,141.5,532.5,65.52,461.1,1995,2935,1313,1294,2030.5,2507,3235.5,225.35,1646,13.8,20.15,2,13.34,8.08,6.56,1.39,22.95,98.95,4.92
2016-04-12,13.27,97.51,27.64,43.47,30.81,154.31,59.28,109.6,54.65,104.91,82.83,75.9,764.32,459.7,817,3318,4057,968,4167.5,3726,6325,1232,148.55,531.5,66.64,458.4,1960,2988,1345,1302,2086.5,2540,3239.5,226.5,1648,13.81,20.51,2.17,13.46,8.35,6.56,1.44,23.05,97.6,4.94
2016-04-13,13.79,97.6,28.23,43.58,30.98,159.85,61.79,109.87,55.35,104.12,82.46,77.37,771.91,479.4,849,3367,4099.5,991.5,4186.5,3749,6395,1239,158.5,539.5,69,460,2021,3076,1404,1309,2245,2584,3263.5,226.8,1665,13.78,20.73,2.35,13.98,8.53,7.32,1.49,23.9,99.2,5.05
2016-04-14,14.14,97.98,28.25,44.22,31.02,160.91,62.59,109.84,55.36,103.16,82.01,77.16,775.39,486.9,848.5,3362,4141,995,4210,3754,6275,1251,158,543.5,68.8,464.7,1900,3060,1413.5,1310,2242.5,2600,3284.5,226.8,1656,13.81,20.75,2.12,13.97,8.76,7.16,1.47,24.1,99,5.08
2016-04-15,14,97.23,27.9,43.7,31.03,158.52,61.87,110.18,55.65,103.77,82.3,76.26,780,480,814.5,3357,4146.5,983.5,4232,3738,6195,1253,155.65,534,68.2,458.3,1870,3086,1395,1304,2230.5,2587,3279.5,229.75,1659,13.92,20.57,2.21,13.98,8.9,7.26,1.48,24.2,99.3,5.07
2016-04-16,14,97.23,27.9,43.7,31.03,158.52,61.87,110.18,55.65,103.77,82.3,76.26,780,480,814.5,3357,4146.5,983.5,4232,3738,6195,1253,155.65,534,68.2,458.3,1870,3086,1395,1304,2230.5,2587,3279.5,229.75,1659,13.92,20.57,2.21,13.98,8.9,7.26,1.48,24.2,99.3,5.07
2016-04-17,14,97.23,27.9,43.7,31.03,158.52,61.87,110.18,55.65,103.77,82.3,76.26,780,480,814.5,3357,4146.5,983.5,4232,3738,6195,1253,155.65,534,68.2,458.3,1870,3086,1395,1304,2230.5,2587,3279.5,229.75,1659,13.92,20.57,2.21,13.98,8.9,7.26,1.48,24.2,99.3,5.07
2016-04-18,14.17,98.7,28.19,45,31.06,159.02,62.27,110.93,56.46,103.72,82.83,77.45,787.68,479.6,817,3347,4168,978.5,4280.5,3680,6285,1259,158.05,535.5,68.45,459.5,1868,3050,1387.5,1305,2268.5,2579,3279,228.35,1662,13.71,20.4,2.05,14.08,8.94,6.86,1.47,24,97.45,5.02
2016-04-19,14.45,100.5,28.33,47.06,31.15,162.65,63.32,112.68,56.39,104.32,83.28,79.64,776.25,482.2,846.5,3413,4160,989,4281,3669,6270,1290,169.9,531.5,67.85,460.9,1859,3019,1425.5,1319,2333,2624,3331,232.35,1678,13.85,20.93,2.25,14.47,9.11,7.52,1.5,24.3,97.4,5.08
2016-04-20,14.93,101.69,28.44,47.08,31.15,166.98,64.24,113.58,55.59,102.44,81.55,81.1,774.92,478.6,859.5,3330,4141,985.5,4264.5,3625,6170,1288,170.65,534,67.76,451.4,1865,2986,1436.5,1296,2423.5,2613,3330,232.6,1661,13.58,20.32,2.27,14.17,9.11,7.25,1.47,24.3,97.15,5.04
2016-04-21,14.9,101.4,28.24,46.23,30.98,165.32,63.6,113.57,55.78,100.99,80.8,80.27,780,478.3,891,3227,4158,980,4175,3560,6110,1277,166.75,528,68.7,446.9,1882,3004,1449,1262,2404.5,2592,3269,231.35,1625,13.31,20.07,2.18,14.03,9.14,7.26,1.45,24.55,97.5,5.11
2016-04-22,15.11,102.01,28.15,47.62,30.76,166.75,63.97,113.32,51.78,101.98,80.95,79.93,737.77,476.9,890,3131,4116.5,965.5,4133,3462,6080,1256,161.8,526.5,68,435,1892,2953,1440,1236,2334.5,2569,3191,228.05,1612,13.37,20.58,2.14,14.12,9.17,7.09,1.44,24.3,96.9,5.05
2016-04-23,15.11,102.01,28.15,47.62,30.76,166.75,63.97,113.32,51.78,101.98,80.95,79.93,737.77,476.9,890,3131,4116.5,965.5,4133,3462,6080,1256,161.8,526.5,68,435,1892,2953,1440,1236,2334.5,2569,3191,228.05,1612,13.37,20.58,2.14,14.12,9.17,7.09,1.44,24.3,96.9,5.05
2016-04-24,15.11,102.01,28.15,47.62,30.76,166.75,63.97,113.32,51.78,101.98,80.95,79.93,737.77,476.9,890,3131,4116.5,965.5,4133,3462,6080,1256,161.8,526.5,68,435,1892,2953,1440,1236,2334.5,2569,3191,228.05,1612,13.37,20.58,2.14,14.12,9.17,7.09,1.44,24.3,96.9,5.05
2016-04-25,14.96,101.51,28.23,46.27,30.68,165.09,63.6,113.51,52.11,102.8,81.41,78.77,742.21,478.1,914,3125,4084,960.5,4162.5,3501,6040,1259,155,527.5,67.59,440,1919,2946,1413.5,1245,2237.5,2558,3187,227.35,1604,13.42,20.5,2.01,13.87,9.18,6.85,1.44,24.2,96.4,4.98
2016-04-26,15.09,102.29,28.45,48.08,30.9,165.84,63.93,112.91,51.44,102.6,79.55,79.2,725.37,483.2,918,3132,3999,959,4144.5,3480,6035,1260,152,535.5,70,435.7,1969,2952,1409.5,1229,2220.5,2583,3147.5,226.7,1605,13.86,20.52,2.16,14.17,9.49,7.06,1.47,24.55,95.4,5.01
2016-04-27,15.02,103.85,28.64,48.11,30.93,166.92,64.11,112.77,50.94,102.63,79.89,80.6,721.46,485.1,925,3159,3996.5,955,4162,3482,6120,1266,153,555,69.25,446,2000,2965,1385,1222,2234,2582,3131,224.85,1616,13.87,20.49,2.26,14.3,9.34,7.03,1.45,23.8,94.55,5.04
2016-04-28,14.79,102.4,27.96,47.67,30.9,164.29,63.6,112.48,49.9,102.97,79.76,79.78,705.06,481.6,924.5,3068,3959.5,955.5,4186,3455,6140,1271,156.45,551,68.11,435.3,1999,2918,1375,1215,2329.5,2568,3107,223.9,1628,14.01,20.72,2.18,14.32,9.02,6.93,1.41,23.5,94.2,5.07
2016-04-29,14.56,102.18,27.49,47.79,30.75,164.11,63.2,112.08,49.87,102.96,80.12,80.34,707.88,473.6,907.5,3064,3928,947.5,4170,3397,6060,1251,162.9,525,67.07,431.5,1987,2914,1347.5,1210,2300.5,2514,3054.5,219.2,1596,14.22,20.98,2.23,14.25,8.86,7.06,1.32,23.25,93,4.99
2016-04-30,14.56,102.18,27.49,47.79,30.75,164.11,63.2,112.08,49.87,102.96,80.12,80.34,707.88,473.6,907.5,3064,3928,947.5,4170,3397,6060,1251,162.9,525,67.07,431.5,1987,2914,1347.5,1210,2300.5,2514,3054.5,219.2,1596,14.22,20.98,2.23,14.25,8.86,7.06,1.32,23.25,93,4.99
2016-05-01,14.56,102.18,27.49,47.79,30.75,164.11,63.2,112.08,49.87,102.96,80.12,80.34,707.88,473.6,907.5,3064,3928,947.5,4170,3397,6060,1251,162.9,525,67.07,431.5,1987,2914,1347.5,1210,2300.5,2514,3054.5,219.2,1596,14.22,20.98,2.23,14.25,8.86,7.06,1.32,23.25,93,4.99
2016-05-02,14.77,103.31,27.37,46.85,30.89,166.18,63.79,112.75,50.61,103.43,80.97,79.4,714.41,473.6,907.5,3064,3928,947.5,4170,3397,6060,1251,162.9,525,67.07,431.5,1987,2914,1347.5,1210,2300.5,2514,3054.5,219.2,1596,13.8,20.42,2.14,14,8.71,7.21,1.3,23.25,93,4.99
2016-05-03,14.36,101.32,26.86,45.08,30.63,163.14,62.56,112.69,49.78,103.56,81.1,77.23,708.44,467,893.5,3090,3911.5,943,4156,3483,6105,1265,149.8,510,65.59,430.4,1976,2924,1327.5,1208,2154.5,2474,3083.5,220.55,1591,13.09,20.01,1.96,13.32,8.54,7.04,1.25,22.5,92.4,4.87
2016-05-04,14.13,100.59,26.44,43.41,30.07,160.07,61.57,112.22,49.87,104.02,81.6,75.73,711.37,461.9,892,3085,3832.5,934,4141.5,3475,6120,1266,145.05,512.5,64.79,428.4,1969,2942,1312,1209,2102,2453,3083,217.95,1586,13.15,20.35,2.04,13.76,8.43,9.06,1.23,22.15,93,4.86
2016-05-05,14.05,101.42,26.21,43.21,29.89,159.53,61.24,112.88,49.94,104.21,81.3,75.4,714.71,463.3,886.5,3116,3809.5,932.5,4191,3435,6180,1267,145.45,510,64.08,427.4,1950,2874,1310,1213,2114.5,2446,3095.5,219.35,1586,13.16,20.29,1.93,13.51,8.42,7.64,1.24,22.35,92.6,4.83
2016-05-06,14.11,101.86,26.53,42.76,30.12,158.85,61.6,112.74,50.39,104.96,82.13,75.12,725.18,458,877,3099,3798.5,936.5,4199,3452,6215,1251,145.6,508,65.01,431.4,1951,2838,1303.5,1221,2133.5,2444,3107.5,218.75,1601,13.3,20.4,2.04,13.22,8.64,7.5,1.18,22.1,92.7,4.76
2016-05-07,14.11,101.86,26.53,42.76,30.12,158.85,61.6,112.74,50.39,104.96,82.13,75.12,725.18,458,877,3099,3798.5,936.5,4199,3452,6215,1251,145.6,508,65.01,431.4,1951,2838,1303.5,1221,2133.5,2444,3107.5,218.75,1601,13.3,20.4,2.04,13.22,8.64,7.5,1.18,22.1,92.7,4.76
2016-05-08,14.11,101.86,26.53,42.76,30.12,158.85,61.6,112.74,50.39,104.96,82.13,75.12,725.18,458,877,3099,3798.5,936.5,4199,3452,6215,1251,145.6,508,65.01,431.4,1951,2838,1303.5,1221,2133.5,2444,3107.5,218.75,1601,13.3,20.4,2.04,13.22,8.64,7.5,1.18,22.1,92.7,4.76
2016-05-09,13.99,100.35,26.51,41.65,29.87,157.51,61.21,113.72,50.07,105.28,82.12,72.77,729.13,464.4,873,3168,3944.5,940.5,4213.5,3531,6245,1258,132.55,513.5,64.37,434.8,1969,2839,1301,1236,1964.5,2459,3154.5,218.9,1611,13.03,20.25,1.9,12.25,8.58,7.47,1.12,22.05,92.55,4.74
2016-05-10,14.3,101.27,27.03,42.87,30.48,161.42,62.04,114.67,51.02,106.57,82.48,74.26,739.38,471.6,888,3113,3928,968,4241.5,3543,6265,1270,133.9,518.5,65.42,434.3,1963,2830,1310,1232,2001,2464,3157,221.95,1617,14.05,20.85,2.01,12.26,8.95,7.63,1.18,22.35,93.85,4.75
2016-05-11,14.2,101.14,26.7,43.68,30.34,159.42,61.81,114.37,51.05,105.72,82.15,73.81,730.55,477.1,897.5,3104,3932.5,965,4245,3610,6295,1265,136.85,518.5,65.69,431.8,1957,2782,1307.5,1229,2031.5,2475,3150.5,222.3,1601,13.7,21.01,2.09,12.01,9.11,7.99,1.18,22.4,93.05,4.72
2016-05-12,14.14,102.12,26.67,43.73,30.09,158.07,61.77,114.23,51.51,106.1,82.41,74.09,728.07,475.4,884.5,3015,3880,957,4210.5,3634,6280,1258,131.1,515.5,64.91,431.4,1951,2784,1275,1231,1972,2465,3139,222.75,1596,13.65,20.87,2,12.13,8.75,8.91,1.23,22.25,92.2,4.68
2016-05-13,13.88,100.74,26.53,43.02,29.64,155.34,61.2,113.56,51.08,104.18,81.23,72.43,724.83,481.3,876.5,3037,3940,958.5,4224.5,3630,6160,1253,131.15,509,66.4,430.8,1961,2837,1277,1234,1992,2493,3165.5,224.5,1591,13.46,20.07,1.85,11.61,8.28,8.37,1.18,21.65,91.15,4.62
2016-05-14,13.88,100.74,26.53,43.02,29.64,155.34,61.2,113.56,51.08,104.18,81.23,72.43,724.83,481.3,876.5,3037,3940,958.5,4224.5,3630,6160,1253,131.15,509,66.4,430.8,1961,2837,1277,1234,1992,2493,3165.5,224.5,1591,13.46,20.07,1.85,11.61,8.28,8.37,1.18,21.65,91.15,4.62
2016-05-15,13.88,100.74,26.53,43.02,29.64,155.34,61.2,113.56,51.08,104.18,81.23,72.43,724.83,481.3,876.5,3037,3940,958.5,4224.5,3630,6160,1253,131.15,509,66.4,430.8,1961,2837,1277,1234,1992,2493,3165.5,224.5,1591,13.46,20.07,1.85,11.61,8.28,8.37,1.18,21.65,91.15,4.62
2016-05-16,13.93,102.29,26.97,44.08,29.96,155.38,61.66,114.44,51.83,104.13,81.63,74,730.3,481.2,876.5,3051,3915,958.5,4235,3582,6150,1258,133.6,511,66.67,429.2,1980,2784,1278,1233,2012,2503,3163,223.65,1595,13.5,20.37,1.72,11.5,8.62,8.36,1.16,21.75,91.45,4.58
2016-05-17,14.01,100.75,26.65,43.78,29.71,154.65,61.66,113.83,50.51,102.37,80.62,74.88,720.19,482.6,927.5,2980,3930.5,975.5,4189,3578,6385,1267,136.5,518.5,67.28,428.4,2010,2845,1287.5,1231,2034,2505,3106.5,227,1588,13.28,20.3,1.71,11.21,8.52,7.84,1.12,22.25,91.95,4.63
